Liszt, Franz;Cantico del sol di Francesco d'Assisi, S.4;11901
Liszt, Franz;Canzone Napolitana;11902
Liszt, Franz;Capriccio alla turca sur des motifs de Beethoven;11903
Liszt, Franz;3 Caprices-Valses;11904
Liszt, Franz;Six Chants polonais (Chopin);11906
Liszt, Franz;5 Choruses with French texts;11907
Liszt, Franz;Christus ist geboren, S.31;11908
Liszt, Franz;Christus ist geboren (Landmesser);11909
Liszt, Franz;Christus;11910
Liszt, Franz;La cloche sonne;11911
Liszt, Franz;Comment, disaient-ils ;11912
Liszt, Franz;Concerto pathétique;11915
Liszt, Franz;Consolations;11916
Liszt, Franz;Le Crucifix;11917
Liszt, Franz;Crux! Hymne des marins, S.35;11918
Liszt, Franz;Csárdás macabre;11919
Liszt, Franz;2 Csárdás;11920
Liszt, Franz;Dante Symphony;11921
Liszt, Franz;Dem Andenken Petöfis;11922
Liszt, Franz;Deutsche Kirchenlieder;11923
Liszt, Franz;Domine salvum fac regem;11925
Liszt, Franz;Der du von dem Himmel bist;11926
Liszt, Franz;Einst;11927
Liszt, Franz;Élégie sur des motifs du Prince Louis Ferdinand de Prusse;11930
Liszt, Franz;En rêve;11931
Liszt, Franz;Enfant, si j’étais roi;11932
Liszt, Franz;2 Episoden aus Lenau's Faust;11933
Liszt, Franz;Es rauschen die Winde;11934
Liszt, Franz;Es war ein König in Thule;11935
Liszt, Franz;Études d'exécution transcendante d'après Paganini;11937
Liszt, Franz;3 Études de concert;11939
Liszt, Franz;Fantaisie romantique sur deux mélodies suisses;11940
Liszt, Franz;Eine Faust Symphonie (in drei Charakterbildern);11950
Liszt, Franz;Festgesang zur Eröffnung der zehnten allgemeinen deutschen Lehrerversammlung;11952
Liszt, Franz;Feuilles d'Album;11960
Liszt, Franz;Freudvoll und leidvoll (Goethe);11961
Liszt, Franz;Galop de Bal;11963
Liszt, Franz;Galop in A minor;11964
Liszt, Franz;Gastibelza;11965
Liszt, Franz;Geharnischte Lieder;11967
Liszt, Franz;Gestorben war ich;11969
Liszt, Franz;Der Glückliche;11970
Liszt, Franz;God Save the Queen;11971
Liszt, Franz;Grand galop chromatique;11973
Liszt, Franz;Grand Septuor de Ludwig van Beethoven;11974
Liszt, Franz;Grande valse di bravura;11976
Liszt, Franz;Grandes études de Paganini;11977
